States	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Arizona	1				1	Himmel|			
Arkansas			1		1			Coler Mountain Bike Preserve|	
California	1				1	Byxbee|			
Colorado	1		1		2	South Boulder Creek|		Aspen|	
Florida	5				5	Clermont Waterfront|Depot Park|Rec Plex North|Weedon Island Preserve|Ed Austin Regional|			
Georgia	1				1	Northside Beltline|			
Idaho	2				2	Canyon Rim Trail|Riverside Park|			
Illinois			1		1			Heritage Harbor|	
Iowa			1		1			City Park, Iowa|	
Kansas			1		1			Exploration Place|	
Kentucky			1		1			Joe Creason|	
Maine	1				1	Merrymeeting|			
Maryland	1		3		4	Kensington|		Leakin Park|College Park|Baltimore and Annapolis Trail|	
Massachusetts			2		2			Jamaica Pond|Danehy Park|	
Michigan	1		1		2	Livonia|		Lillie|	
Minnesota			3		3			Eagan|Courthouse Lake|Hamlet Park|	
New Jersey			2		2			Delaware and Raritan Canal|Evergreen|	
North Carolina	1		2		3	Little Sugar Creek Greenway|		Durham NC|Creekside|	
Ohio			5		5			Mansfield OH|Sippo Lake|Ohio and Erie Canal Reservation|Brecksville Reservation|Osborn MetroPark|	
Oregon			1		1			Rock Creek Trail|	
Pennsylvania			2		2			Peace Valley|Susquehanna Riverwalk|	
Tennessee			1		1			Third Creek Greenway|	
Texas	3				3	Terry Hershey|Bear Creek Greenbelt|Spindle Tree|			
Virginia			1		1			Deep Run|	
Washington	4				4	Renton|Des Moines Creek|Perrigo|Winthrop Trailhead|			
Washington, D.C.			3		3			Roosevelt Island DC|Anacostia|Fletcher’s Cove|	
West Virginia			1		1			Charleston|	
Wisconsin			1		1			Howard Temin Lakeshore Path|	
USA	22		34		56				
