Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
Australia	488	5	5		498
Austria	4				4
Canada	49		2		51
Denmark	10				10
Eswatini	2				2
Finland	7				7
France			8		8
Germany	62				62
Ireland	105	38	3	2	148
Italy	14				14
Japan	33		5		38
Lithuania					
Malaysia	1				1
Namibia	2		1		3
Netherlands	25				25
New Zealand	53				53
Norway	10				10
Poland	96		1		97
Russia					
Singapore	4				4
South Africa	210		4		214
Sweden	12				12
United Kingdom	795	443	8	10	1256
USA	74		3		77
Total	2056	486	40	12	2594
