County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Aberdeen City	Scotland	2	1			3	Aberdeen|Hazlehead|	Duthie juniors|		
Aberdeenshire	Scotland	4				4	Stonehaven|Ellon|Crathes Castle|Ury Riverside|			
Angus	Scotland	1				1	Montrose|			
Antrim	Northern Ireland	7	4	1		12	Ecos|Portrush|Antrim|Larne|Carrickfergus|Valley|Sixmilewater|	Jordanstown juniors|Portrush juniors|Larne juniors|Riverside juniors, Ballymoney|	Wallace|	
Argyll and Bute	Scotland	2				2	Ganavan Sands|Mount Stuart|			
Armagh	Northern Ireland	2	1			3	Citypark|Armagh|	Lurgan juniors|		
Bedfordshire	England	6	4			10	Luton Wardown|Bedford|Houghton Hall|Great Denham|Dunstable Downs|Millennium Country|	Houghton Hall juniors|Bedford juniors|Leighton Buzzard juniors|Wardown juniors|		
Belfast	Northern Ireland	8	4	1		13	Waterworks|Belfast Victoria|Queens|Falls|Ormeau|Stormont|Colin Glen|Orangefield|	Belfast Victoria juniors|Waterworks juniors|Ormeau juniors|Musgrave juniors|	Stranmillis College|	
Berkshire	England	8	4	2		14	Reading|Bracknell|Woodley|Upton Court|Maidenhead|Dinton Pastures|California Country|Sandhurst Memorial|	Bracknell juniors|Woodley juniors|Ockwells juniors|Salt Hill juniors|	Newbury|Prospect|	
Bristol	England	1	3			4	Eastville|	Eastville juniors|Kings Weston juniors|Windmill Hill juniors|		
Buckinghamshire	England	9	4		1	14	Black Park|Milton Keynes|Wycombe Rye|Linford Wood|Aylesbury|Buckingham|Rushmere|Higginson, Marlow|Wendover Woods|	Wycombe Rye juniors|Milton Keynes juniors|Aylesbury juniors|Buckingham juniors|		Lakes juniors|
Cambridgeshire	England	10	8	2	1	21	Ferry Meadows|Wimpole Estate|Huntingdon|March|Pocket|Littleport|Manor Field, Whittlesey|Coldham’s Common|Soham Village College|Storeys Field|	Central Park juniors|Jubilee juniors|Wimpole Estate juniors|Wisbech juniors|Riverside juniors, St Neots|Coldham’s Common juniors|West End juniors|Cambourne juniors|	Cambridge|Fulbourn Hospital|	Cambridge juniors|
Carlow	Ireland	1				1	Carlow Town|			
Cavan	Ireland	2		1	1	4	Cootehill|Deerpark Forest|		Con Smith|	Crosserlough juniors|
Cheshire	England	12	8		2	22	Phoenix|Warrington|Congleton|Chester|Delamere|Lyme Park|Ellesmere Port|Widnes|Wilmslow|Crewe|Macclesfield|Northwich|	Widnes juniors|Wilmslow juniors|Warrington juniors|Victoria juniors, Macclesfield|The Wirral Way juniors|Phoenix juniors|Gardenhurst Estate juniors|Queens Park juniors, Crewe|		Northwich juniors|Castle Park juniors|
Clare	Ireland	3		1		4	Clarisford|Lees Road|Vandeleur|		Illaunmanagh|	
Clwyd	Wales	4	2	1	1	8	Conwy|Wepre|Erddig|Nova Prestatyn|	Alyn Waters juniors|Prestatyn Prom juniors|	Greenfield Valley|	Conwy Nature Reserve juniors|
Cork	Ireland	8		1	2	11	Clonakilty|Castle Demense|Bere Island|Glengarriff|Castlehaven|Ballincollig|Glen River|Mallow Castle|		Pobalscoil na Tríonóide|	Cobh juniors|Ballincollig Regional juniors|
Cornwall	England	8	2	1	1	12	Trelissick|Lanhydrock|Tamar Lakes|Penrose|Mount Edgcumbe|Heartlands|Land’s End|Penryn Campus|	Bodmin juniors|Par Track juniors|	Eden Project|	Bude Marshes juniors|
Cumbria	England	12	3			15	Millom|Carlisle|Barrow|Workington|Penrith|Keswick|Whinlatter Forest|Fell Foot|Whitehaven|Ford|Rothay Park|Bower Park|	Keswick juniors|Carlisle juniors|Barrow juniors|		
