Event	Country	Cancellation Note	Website
Aberbeeg parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberbeeg
Aberdare parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberdare
Aberdeen parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberdeen
Aberystwyth parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberystwyth
Achill Greenway parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/achillgreenway
Adrenalin Addo parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/adrenalinaddo
Aggeneys parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/aggeneys
Agnew parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/agnew
Albert College junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/albertcollege-juniors
Alberton Ascot parkrun	Australia	COVID-19 Restrictions	
Alberts Farm parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/albertsfarm
Alderford Lake parkrun	United Kingdom	Many of the event RD/ED team unavailable	https://www.parkrun.org.uk/alderfordlake
Alexandra junior parkrun, Oldham	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alexandra-juniors
Alice Campus parkrun, University of Fort Hare	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/alicecampus
Aliwal North parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/aliwalnorth
Ally Pally parkrun	United Kingdom	Ally Pally is hosting the Kaleidoscope Festival	https://www.parkrun.org.uk/allypally
Alness parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alness
Alstervorland parkrun	Germany	waiting for local authorities confirmation	https://www.parkrun.com.de/alstervorland
Altcourse parkrun	United Kingdom	COVID-19 (Coronavirus)	
Alyn Waters junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alynwaters-juniors
Amanzimtoti parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/amanzimtoti
Amsterdamse Bos parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/amsterdamsebos
An Bonnán Buí parkrun	Ireland	COVID-19 (Coronavirus)	
Anacostia parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/anacostia
Angrignon parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/angrignon
Appleton Thorn parkrun	United Kingdom	COVID-19 (Coronavirus)	
Ardgillan parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ardgillan
Arklow Duck Pond junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/arklowduckpond-juniors
Ashburton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ashburton
Athlone parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/athlone
Atholl parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/atholl
Atlasville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/atlasville
Avery Beach parkrun, Huntsville	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/averybeach
Aviemore parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aviemore
Avondale Forest parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/avondaleforest
Ayr parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ayr
Badhusparken parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/badhusparken
Bailey junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bailey-juniors
Bakewell parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bakewell
Balbriggan junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/balbriggan-juniors
Ballina junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina-juniors
Ballina parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina
Ballincollig Regional junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballincolligregional-juniors
Ballincollig parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballincollig
Ballito parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ballito
Ballyogan junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballyogan-juniors
Bambra Bolinda parkrun	Australia	COVID-19 Restrictions	
Barberton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/barberton
Barnstaple junior parkrun	United Kingdom	funfair in park	https://www.parkrun.org.uk/barnstaple-juniors
Barnstaple parkrun	United Kingdom	Another event taking place in the park (Fair)	https://www.parkrun.org.uk/barnstaple
Barry Island parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barryisland
Barry junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barry-juniors
Barshaw junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barshaw-juniors
Barton Trail parkrun	Canada	COVID-19 (Coronavirus)	
Battery Park junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/batterypark-juniors
Beach Strip parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/beachstrip
Bear Brook parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bedok Reservoir parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/bedokreservoir
Beechpark junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/beechpark-juniors
Bellevue parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/bellevue
Belloluogo parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/belloluogo
Bells Inn parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellsinn
Bellville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellville
Bere Island parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/bereisland
Berwyn parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bethlehem parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bethlehem
Bethlem Royal Hospital parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bethlemroyalhospital
Betty's Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bettysbay
Bezuidenhout parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bezuidenhout
Bickershaw parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bideford parkrun	United Kingdom	Another event in the park causing safety concerns	https://www.parkrun.org.uk/bideford
Big Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bigbay
Billingham junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/billingham-juniors
Birches Valley junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/birchesvalley-juniors
Bishan parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/bishan
Black Combe parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bloemhof parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bloemhof
Blue Lagoon parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bluelagoon
Boksburg parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/boksburg
Borrisokane Town parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/borrisokanetown
Bosmont Stadium parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bosmontstadium
Botanical Garden parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/botanicalgarden
Bowling Park parkrun	United Kingdom	Lombard car rally in park, no access to the park	https://www.parkrun.org.uk/bowlingpark
Bowral parkrun	Australia	No event due to Covid precautions	https://www.parkrun.com.au/bowral
Brakpan parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/brakpan
Brandkop parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/brandkop
Brandon Country Park parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brandoncountrypark
Bray junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/bray-juniors
Breakwater parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/breakwater
Bredasdorp parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bredasdorp
Breede Valley parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/breedevalley
Brentwood junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brentwood-juniors
Brickfields parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/brickfields
Bridgend junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bridgend-juniors
Bridgetown parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bridgetown
Broadmeadow junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/broadmeadow-juniors
Brockenhurst parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brockenhurst
Bronberrik parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bronberrik
Bronkhorstspruit parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bronkhorstspruit
Brumby Wood Rec Ground junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brumbywoodrecground-juniors
Bryanston parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bryanston
Bryn Bach junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brynbach-juniors
Bryn Bach parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brynbach
Brynaman parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brynaman
Bude Marshes junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/budemarshes-juniors
Bugasee parkrun, Kassel	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/bugasee
Bulithando parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bulithando
Buncrana parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/buncrana
Burgess junior parkrun, County Tipperary	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/burgesscountytipperary-juniors
Bushy junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bushy-juniors
Bushy parkrun, Dublin	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/bushydublin
Cabinteely parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/cabinteely
Caffarella parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/caffarella
Caledonian junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/caledonian-juniors
California Country parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/californiacountry
Callaghan parkrun	Australia	No landholder permission	https://www.parkrun.com.au/callaghan
Cambridge junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cambridge-juniors
Cambridge parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cambridge
Campbelltown parkrun	Australia	Local COVID-19 restrictions	https://www.parkrun.com.au/campbelltown
Camperdown parkrun, Dundee	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/camperdown
Cannibals Cave parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/cannibalscave
Cannon Hill junior parkrun, Birmingham	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cannon-hill-juniors
Cannonvale junior parkrun	Australia	reopening requirements being completed	https://www.parkrun.com.au/cannonvale-juniors
Cardiff parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cardiff
Carlisle parkrun	United Kingdom	Core team unavailable	https://www.parkrun.org.uk/carlisle
Carlow Town parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/carlowtown
Carmarthen junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/carmarthen-juniors
Castle Demense parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/castledemense
Castle Howard parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/castlehoward
Castle Park junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/castlepark-juniors
Castlebar parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/castlebar
Castleblayney parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/castleblayney
Castlehaven parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/castlehaven
