Event	Country	Cancellation Note	Website
Aberbeeg parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberbeeg
Aberdare parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberdare
Aberdeen parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberdeen
Aberystwyth parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberystwyth
Achill Greenway parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/achillgreenway
Adrenalin Addo parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/adrenalinaddo
Aggeneys parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/aggeneys
Agnew parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/agnew
Albert College junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/albertcollege-juniors
Albert parkrun, Melbourne	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/albertmelbourne
Alberton Ascot parkrun	Australia	Due to current COVID-19 restrictions	
Alberts Farm parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/albertsfarm
Alexandra junior parkrun, Oldham	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alexandra-juniors
Alice Campus parkrun, University of Fort Hare	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/alicecampus
Aliwal North parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/aliwalnorth
Alness parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alness
Alstervorland parkrun	Germany	Awaiting local authorities confirmation	https://www.parkrun.com.de/alstervorland
Altcourse parkrun	United Kingdom	COVID-19 (Coronavirus)	
Altona Beach parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/altonabeach
Alyn Waters junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alynwaters-juniors
Amanzimtoti parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/amanzimtoti
Amsterdamse Bos parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/amsterdamsebos
An Bonnán Buí parkrun	Ireland	COVID-19 (Coronavirus)	
Anacostia parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/anacostia
Andover parkrun	United Kingdom	Paid for fun run event in the park	https://www.parkrun.org.uk/andover
Angrignon parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/angrignon
Appleton Thorn parkrun	United Kingdom	COVID-19 (Coronavirus)	
Ararat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ararat
Ardgillan parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ardgillan
Arklow Duck Pond junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/arklowduckpond-juniors
Ashburton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ashburton
Athlone parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/athlone
Atholl parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/atholl
Atlasville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/atlasville
Aurora parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/aurora
Avery Beach parkrun, Huntsville	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/averybeach
Aviemore parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aviemore
Avondale Forest parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/avondaleforest
Ayr parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ayr
Badhusparken parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/badhusparken
Bailey junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bailey-juniors
Bairnsdale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bairnsdale
Bakewell parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bakewell
Balbriggan junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/balbriggan-juniors
Ballarat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballarat
Ballina junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina-juniors
Ballina parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina
Ballincollig Regional junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballincolligregional-juniors
Ballincollig parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballincollig
Ballito parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ballito
Ballyogan junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballyogan-juniors
Balyang Sanctuary parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/balyangsanctuary
Bambra Bolinda parkrun	Australia	Due to current COVID-19 restrictions	
Bannockburn Bush parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bannockburnbush
Barberton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/barberton
Barry Island parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barryisland
Barry junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barry-juniors
Barshaw junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/barshaw-juniors
Barton Trail parkrun	Canada	COVID-19 (Coronavirus)	
Battery Park junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/batterypark-juniors
Beach Strip parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/beachstrip
Bear Brook parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bedok Reservoir parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/bedokreservoir
Beechpark junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/beechpark-juniors
Bellevue Park junior parkrun	Australia	COVID-19 lockdown	https://www.parkrun.com.au/bellevuepark-juniors
Bellevue parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/bellevue
Belloluogo parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/belloluogo
Bells Inn parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellsinn
Bellville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellville
Benalla Botanical Gardens parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/benallabotanicalgardens
Bendigo Botanic Gardens parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bendigobotanicgardens
Bere Island parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/bereisland
Berwick Springs parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/berwicksprings
Berwick Waters parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/berwickwaters
Berwyn parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bethlehem parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bethlehem
Bethlem Royal Hospital parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bethlemroyalhospital
Betty's Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bettysbay
Bezuidenhout parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bezuidenhout
Bickershaw parkrun	United Kingdom	COVID-19 (Coronavirus)	
Big Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bigbay
Billingham junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/billingham-juniors
Birches Valley junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/birchesvalley-juniors
Birdsland Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/birdslandreserve
Bishan parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/bishan
Bloemhof parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bloemhof
Blue Lagoon parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bluelagoon
Boksburg parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/boksburg
Borrisokane Town parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/borrisokanetown
Bosmont Stadium parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bosmontstadium
Botanical Garden parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/botanicalgarden
Bowral parkrun	Australia	Precaution due toProximity to Covid lockdown zone.	https://www.parkrun.com.au/bowral
Brakpan parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/brakpan
Brandkop parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/brandkop
Bray junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/bray-juniors
Breakwater parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/breakwater
Bredasdorp parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bredasdorp
Breede Valley parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/breedevalley
Brentwood junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brentwood-juniors
Brickfields parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/brickfields
Bridgend junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bridgend-juniors
Bridgetown parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bridgetown
Bright parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bright
Brimbank parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/brimbank
Broadmeadow junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/broadmeadow-juniors
Brockenhurst parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brockenhurst
Bronberrik parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bronberrik
Bronkhorstspruit parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bronkhorstspruit
Brumby Wood Rec Ground junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brumbywoodrecground-juniors
Bryanston parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bryanston
Bryn Bach junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brynbach-juniors
Bryn Bach parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brynbach
Brynaman parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brynaman
Bude Marshes junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/budemarshes-juniors
Bugasee parkrun, Kassel	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/bugasee
Bulithando parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bulithando
Buncrana parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/buncrana
Burgess junior parkrun, County Tipperary	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/burgesscountytipperary-juniors
Bushy parkrun, Dublin	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/bushydublin
Cabinteely parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/cabinteely
Caffarella parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/caffarella
Caledonian junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/caledonian-juniors
California Country parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/californiacountry
Callaghan parkrun	Australia	No landholder permission	https://www.parkrun.com.au/callaghan
Cambridge junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cambridge-juniors
Cambridge parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cambridge
Campaspe parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/campaspe
Campbelltown parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/campbelltown
Camperdown parkrun, Dundee	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/camperdown
Cannibals Cave parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/cannibalscave
Cannon Hill junior parkrun, Birmingham	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/cannon-hill-juniors
Cannonvale junior parkrun	Australia	reopening requirements being completed	https://www.parkrun.com.au/cannonvale-juniors
